index,dist_front_cm,dist_left_cm,dist_right_cm,black_front_area,black_left_area,black_right_area,action_taken
0,400,400,400,80257,54103,63357,1
1,400,400,400,13887,43881,47879,1
2,255,255,0,12487,78059,74164,0
3,255,255,0,29417,20690,37413,1
4,255,255,0,14983,29746,55835,1
5,255,255,0,58936,72760,80873,0
6,255,255,0,70798,41948,59824,1
7,255,255,0,66936,63832,35214,1
8,255,255,0,76697,65441,16756,0
9,255,255,0,23649,47335,51,1
10,255,255,0,65842,28688,81550,1
11,255,255,0,31826,34111,7671,0
12,255,255,0,48581,29210,39530,1
13,255,255,0,81001,99885,18678,1
14,255,255,0,7953,98376,22750,0
15,255,255,0,65019,98249,63986,1
16,255,255,0,89288,92173,56677,1
17,255,255,0,9071,76616,39405,0
18,255,255,0,95566,27627,13038,1
19,255,255,0,62195,83032,22631,1
20,255,255,0,56114,98955,55271,0
21,255,255,0,58810,74912,10182,1
22,255,255,0,27836,34744,2260,1
23,255,255,0,67722,72250,20502,0
24,255,255,0,90820,45185,26422,1
25,255,255,0,72438,87772,83729,1
26,255,255,0,22460,90854,44027,0
27,255,255,0,54635,4067,82868,1
28,255,255,0,22791,64188,80265,1
29,255,255,0,92585,83853,56084,0
30,255,255,0,31698,84713,11260,1
31,255,255,0,65530,58398,38472,1
32,255,255,0,16204,37353,9567,0
33,255,255,0,62311,65019,75173,1
34,255,255,0,84266,34518,37921,1
35,255,255,0,33976,51809,32080,0
36,255,255,0,7267,96966,36616,1
37,255,255,0,17020,24682,88639,1
38,255,255,0,16505,2905,93122,0
39,255,255,0,21049,44196,6324,1
40,255,255,0,85678,43089,85872,1
41,255,255,0,33240,55384,34294,0
42,255,255,0,89292,16051,13850,1
43,255,255,0,69296,75310,26335,1
44,255,255,0,72228,78769,24486,0
45,255,255,0,7732,2303,48932,1
46,255,255,0,83231,86461,10862,1
47,255,255,0,25105,25016,57586,0
48,255,255,0,1921,6183,43871,1
49,255,255,0,48263,76662,51941,1
50,255,255,0,40294,64575,40779,0
51,255,255,0,8760,18554,95493,1
52,255,255,0,77803,91406,35941,1
53,255,255,0,85895,51476,36319,0
54,255,255,0,98432,8779,64730,1
55,255,255,0,75690,68917,79269,1
56,255,255,0,32895,72261,89672,0
57,255,255,0,51177,43298,79992,1
58,255,255,0,23015,42383,79703,1
59,255,255,0,99690,98559,25916,0
60,255,255,0,72920,34364,91047,1
61,255,255,0,55686,55755,84624,1
62,255,255,0,39472,38180,43701,0
63,255,255,0,25208,88540,40151,1
64,255,255,0,6271,78653,46870,1
65,255,255,0,67793,29592,48118,0
66,255,255,0,33324,38098,92756,1
67,255,255,0,6175,26268,99304,1
68,255,255,0,86923,56726,97411,0
69,255,255,0,6240,65419,59624,1
70,255,255,0,11606,54805,20091,1
71,255,255,0,67573,32747,89440,0
72,255,255,0,45050,80828,35875,1
73,255,255,0,57711,34600,4362,1
74,255,255,0,56132,1268,90640,0
75,255,255,0,92447,18005,97091,1
76,255,255,0,97499,35415,8757,1
77,255,255,0,10156,6007,65537,0
78,255,255,0,74201,62958,3606,1
79,255,255,0,23242,89415,4323,1
80,255,255,0,40189,22471,35857,0
81,255,255,0,32867,56283,76508,1
82,255,255,0,1278,31014,84804,1
83,255,255,0,78533,14552,40194,0
84,255,255,0,63912,69343,14261,1
85,255,255,0,90540,36807,6175,1
86,255,255,0,63925,81236,21078,0
87,255,255,0,68083,12561,24449,1
88,255,255,0,27435,80526,15300,1
89,255,255,0,61475,25920,26425,0
90,255,255,0,93618,58341,49791,1
91,255,255,0,11923,42688,93251,1
92,255,255,0,32792,62338,46859,0
93,255,255,0,82296,43843,21701,1
94,255,255,0,2416,37851,51896,1
95,255,255,0,94687,87861,3388,0
96,255,255,0,48834,91242,90869,1
97,255,255,0,2566,87415,10800,1
98,255,255,0,41106,63658,19315,0
99,255,255,0,17548,51125,65227,1
100,255,255,0,96394,71480,6068,1
101,255,255,0,11817,56573,63609,0
102,255,255,0,40655,7284,95569,1
103,255,255,0,22619,26187,38688,1
104,255,255,0,69063,53703,42680,0
105,255,255,0,47540,58159,3731,1
106,255,255,0,17549,49112,46834,1
107,255,255,0,2105,84647,30434,0
108,255,255,0,95388,36605,86292,1
109,255,255,0,46627,98626,43477,1
110,255,255,0,10738,19966,20733,0
111,255,255,0,50375,99893,42310,1
112,255,255,0,46901,37474,2508,1
113,255,255,0,30975,24471,1945,0
114,255,255,0,8480,43441,81459,1
115,255,255,0,35018,60210,65441,1
116,255,255,0,56124,32021,75319,0
117,255,255,0,46441,50834,72416,1
118,255,255,0,9160,58736,78686,1
119,255,255,0,60165,5303,2063,0
120,255,255,0,53893,8012,6928,1
121,255,255,0,8382,80284,27928,1
122,255,255,0,58775,18420,48641,0
123,255,255,0,54497,42105,93042,1
124,255,255,0,60768,46115,8529,1
125,255,255,0,3063,14717,31974,0
